title,address,city,price,bedroom,bathroom,floors,parking,face,year,views,area,road,road_width,road_type,build_area,posted,amenities,year_missing,road_width_ft,area_sqft,build_area_sqft,price_category
"Attractive Flat For Rent : Apartment For Rent In Dhapakhel, Lalitpur","CIVIL HOMES DHAPHAKEL, Dhapakhel, Lalitpur",Lalitpur,30000,2,1,3.0,1,East,2074.0,758,790 Sq. Feet,11 Meter / Blacktopped,11 Meter , Blacktopped,790 Sq. Feet,4 months ago,"['Swimming Pool', 'Modular Kitchen', 'Water Supply', 'Electricity Backup', 'Garage', 'Balcony', 'Garden', 'Water Tank', 'Kids Playground', 'Gym', 'Lift']",1,36.08924,790.0,790.0,Low
"Imadol Ko 20 Feet Ko Batoko Ghar Bikrima : House For Sale In Imadol, Lalitpur","imadol -4 lalitpur, Imadol, Lalitpur",Lalitpur,19000000,4,3,3.0,2,West,2076.0,869,0-3-1-0 Aana,0 Feet / Blacktopped,0 Feet , Blacktopped,N/A Aana,4 months ago,[],0,0.0,1112.3125,,High
"House For Sale In Gwarko, Lalitpur","Gwarko Colony, Gwarko, Lalitpur",Lalitpur,21000000,3,2,2.5,1,South,2074.0,8K,0-3-0-1 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Fencing', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Kids Playground', 'Parking', 'Security Staff', 'Store Room']",1,13.0,1048.140625,,High
"Brand New 3 BHK : Apartment For Rent In Balkumari, Lalitpur","Westar Apartment, Balkumari, Lalitpur",Lalitpur,50000,3,2,9.0,0,East,2074.0,2.4K,1259 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,4 months ago,"['Air Condition', 'Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Electricity Backup', 'Internet', 'Kids Playground', 'Lift', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']",1,20.0,1259.0,,Low
"Land For Rent : Land For Rent In Naxal, Kathmandu","Gairidhara, Naxal, Kathmandu",Kathmandu,200000,0,0,3.0,0,South East,2074.0,287,10 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,[],1,20.0,3422.5,,Low
"Office Space For Rent : Office Space For Rent In Naxal, Kathmandu","Nagpokhari, Naxal, Kathmandu",Kathmandu,110,0,0,3.0,0,East,2074.0,196,10 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Backyard', 'Water Supply', 'Water Tank', 'Garage']",1,16.0,3422.5,,Low
"House For Rent : House For Rent In Budhanilkantha, Kathmandu","budanilkantha, Budhanilkantha, Kathmandu",Kathmandu,100000,3,4,2.0,1,North,2074.0,172,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Frontyard', 'Water Supply', 'Water Well', 'Modular Kitchen', 'Drainage', 'Balcony']",1,15.0,1369.0,,Low
"Office Space For Rent : Office Space For Rent In Naxal, Kathmandu","Bhimsen Marg, hadigaon, Naxal, Kathmandu",Kathmandu,160,0,0,3.0,0,North East,2074.0,149,20 Aana,0 Feet,0 Feet,Unknown,N/A Aana,4 months ago,"['Backyard', 'Water Supply', 'Frontyard', 'Water Tank']",1,0.0,6845.0,,Low
"House For Rent : House For Rent In Ratopul, Kathmandu","Siphal, Ratopul, Kathmandu",Kathmandu,350000,0,0,5.0,0,South,2074.0,134,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,8000 Sq. Feet,4 months ago,"['Water Supply', 'Water Well', 'Frontyard']",1,15.0,2738.0,8000.0,Low
"Land On Sale : Land For Sale In Soltimode, Kathmandu","Chauni Road, Soltimode, Kathmandu",Kathmandu,3000000,0,0,3.0,0,North East,2074.0,285,0-4-1-0 Aana,15 Feet,15 Feet,Unknown,N/A Aana,4 months ago,[],1,15.0,1454.5625,,Medium
"House For Rent : House For Rent In Sinamangal, Kathmandu","sinamangal, Sinamangal, Kathmandu",Kathmandu,200000,4,3,3.0,2,South East,2074.0,144,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Supply', 'Water Well', 'Balcony', 'Frontyard']",1,15.0,2738.0,,Low
"Land On Sale : Land For Sale In Boudha, Kathmandu","Tinchuli Chowk, Boudha, Kathmandu",Kathmandu,3000000,0,0,3.0,0,South East,2074.0,243,5.2 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,[],1,15.0,1779.7,,Medium
"House For Rent : House For Rent In Boudha, Kathmandu","Arunima Education Foundation, Boudha, Kathmandu",Kathmandu,150000,0,0,5.0,2,South West,2074.0,178,3 Aana,0 Feet,0 Feet,Unknown,N/A Aana,4 months ago,"['Frontyard', 'Balcony', 'Drainage', 'Water Supply']",1,0.0,1026.75,,Low
"Land For Rent : Land For Rent In Gyaneshwor, Kathmandu","Kamalpokhari, Gyaneshwor, Kathmandu",Kathmandu,1200000,0,0,3.0,0,North East,2074.0,177,4 Ropani,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,[],1,20.0,21904.0,,Low
"Land For Rent : Land For Rent In Maharajgunj, Kathmandu","Sankha Park, Maharajgunj, Kathmandu",Kathmandu,250000,0,0,3.0,0,South East,2074.0,152,2.81 Ropani,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,[],1,16.0,15387.56,,Low
"Office Space For Rent In Thamel, Kathmandu","Thamel, Thamel, Kathmandu",Kathmandu,120000,12,0,3.0,2,North West,2074.0,109,3 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Supply', 'Water Well', 'Frontyard', 'Drainage']",1,15.0,1026.75,,Low
"Office Space For Rent : Office Space For Rent In Maharajgunj, Kathmandu","Teaching Hospital, Maharajgunj, Kathmandu",Kathmandu,130000,12,0,3.0,3,North East,2074.0,122,6 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,3500 Sq. Feet,4 months ago,"['Frontyard', 'Water Supply']",1,16.0,2053.5,3500.0,Low
"House For Rent : House For Rent In Lazimpat, Kathmandu","Nil sarswotisthan, Lazimpat, Kathmandu",Kathmandu,150000,8,3,3.0,2,North East,2074.0,125,4 Aana,16 Feet,16 Feet,Unknown,N/A Aana,4 months ago,"['Frontyard', 'Water Supply', 'Water Tank', 'Balcony']",1,16.0,1369.0,,Low
"Land On Sale : Land For Sale In Budhanilkantha, Kathmandu","Ganesh Chowk, Budhanilkantha, Kathmandu",Kathmandu,2500000,0,0,3.0,0,North East,2074.0,434,4 Aana,15 Feet / Gravelled,15 Feet , Gravelled,N/A Aana,4 months ago,[],1,15.0,1369.0,,Medium
"Colony House On Rent : House For Rent In Basbari, Kathmandu","Basbari, Basbari, Kathmandu",Kathmandu,150000,4,4,3.0,1,South,2074.0,157,6 Aana,16 Feet,16 Feet,Unknown,N/A Aana,4 months ago,"['Garage', 'Balcony', 'Garden', 'Modular Kitchen', 'Water Tank']",1,16.0,2053.5,,Low
"Basundhara Bungalow For Sale : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,85000000,7,8,3.0,4,East,2067.0,672,14 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Wifi', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']",0,14.0,4791.5,,Premium
"Land At Ramkot : Land For Sale In Ramkot, Kathmandu","green village, Ramkot, Kathmandu",Kathmandu,13000000,0,0,3.0,0,South East,2074.0,171,0-10-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,4 months ago,[],1,13.0,3422.5,,High
"Polting Land At Dahachowk : Land For Sale In Dahachowk, Khahare, Kathmandu","dahachowk, Dahachowk, khahare, Kathmandu",Kathmandu,1050000,0,0,3.0,0,South,2074.0,438,0-4-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,4 months ago,[],1,13.0,1369.0,,Low
"House For Rent : Business For Rent In Gongabu, Kathmandu","Gongabu, Gongabu, Kathmandu",Kathmandu,80000,13,0,4.0,0,East,2074.0,160,4 Aana,13 Feet,13 Feet,Unknown,N/A Aana,4 months ago,[],1,13.0,1369.0,,Low
"Beautiful House On Rent : Office Space For Rent In Khusibu, Kathmandu","medical chowk, Khusibu, Kathmandu",Kathmandu,370000,17,17,4.0,0,North East,2076.0,348,6 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Tank', 'Balcony']",0,20.0,2053.5,,Low
"Plotting Land For Sale At Gumti Chowk : Land For Sale In Budhanilkantha, Kathmandu","gumti chowk, Budhanilkantha, Kathmandu",Kathmandu,2600000,0,0,3.0,0,East,2074.0,460,4 Aana,22 Feet / Blacktopped,22 Feet , Blacktopped,N/A Aana,4 months ago,[],1,22.0,1369.0,,Medium
"Full Furnished House On Rent : House For Rent In Lazimpat, Kathmandu","uttar dokha, Lazimpat, Kathmandu",Kathmandu,150000,4,4,3.0,2,North East,2074.0,516,7 Aana,13 Feet,13 Feet,Unknown,N/A Aana,4 months ago,"['Garage', 'Air Condition', 'Garden', 'Frontyard', 'Balcony', 'Modular Kitchen', 'Solar Water', 'Water Well', 'Water Tank']",1,13.0,2395.75,,Low
"House On SALE!! : House For Sale In Kapan, Kathmandu","Kapan height, Kapan, Kathmandu",Kathmandu,17000000,8,3,10.0,2,North,2074.0,706,3.5 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,3 Aana,4 months ago,[],1,10.0,1197.875,1026.75,High
"2.5 Storey New : House For Sale In Gothatar, Kathmandu","Buddhachwok, Gothatar, Kathmandu",Kathmandu,18500000,3,3,2.5,1,East,2075.0,10.6K,0-3-0-0 Aana,14 Feet / Gravelled,14 Feet , Gravelled,1026 Aana,4 months ago,"['Lawn', 'Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",0,14.0,1026.75,351148.5,High
"Land For Sale In Budhanilkantha, Kathmandu","deuba chowk, Budhanilkantha, Kathmandu",Kathmandu,3200000,0,0,3.0,0,East,2074.0,421,7 Aana,13 Feet,13 Feet,Unknown,N/A Aana,4 months ago,[],1,13.0,2395.75,,Medium
"Akasedharama Naya Ghar : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,17000000,4,5,3.0,1,West,2076.0,1.2K,3 Aana,16 Feet / Gravelled,16 Feet , Gravelled,N/A Aana,4 months ago,['Garage'],0,16.0,1026.75,,High
"12 Ropani Land Is On Sale. : Land For Sale In Nirmal Pokhari, Pokhara","BharatPokhari-33, Nirmal Pokhari, Pokhara",Pokhara,2500000,0,0,3.0,0,North,2074.0,483,12 Ropani,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,12 Ropani,4 months ago,[],1,13.0,65712.0,65712.0,Medium
"Budhanilkantha Mandikatar Height Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,32500000,8,6,3.0,1,South East,2076.0,862,4 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,"['Drainage', 'Water Supply', 'Solar Water', 'Store Room']",0,20.0,1369.0,,Premium
"Budhanilkantha Family Bungalow : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,29800000,5,5,3.0,2,East,2076.0,641,4 Aana,15 Feet / Paved,15 Feet , Paved,N/A Aana,4 months ago,"['Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank', 'Water Well', 'Store Room']",0,15.0,1369.0,,Premium
"30 Ropani Land For Sale. : Land For Sale In Nirmal Pokhari, Pokhara","Nirmal Pokhari-21, Nirmal Pokhari, Pokhara",Pokhara,2500000,0,0,3.0,0,South,2074.0,504,30 Ropani,20 Feet / Blacktopped,20 Feet , Blacktopped,30 Ropani,4 months ago,[],1,20.0,164280.0,164280.0,Medium
"Beautiful Semi Bungalow For Sale : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,33500000,5,5,3.0,1,North West,2076.0,837,5.5 ana Aana,14 Feet / Gravelled,14 Feet , Gravelled,N/A Aana,4 months ago,"['Garage', 'Balcony', 'Drainage', 'Solar Water', 'Water Tank', 'Water Well']",0,14.0,1882.375,,Premium
"House For Sale At Bhangal Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Sundar Basti Bhangal, Budhanilkantha, Kathmandu",Kathmandu,29900000,7,6,3.0,2,South West,2019.0,472,5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,2700 Sq. Feet,4 months ago,"['Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'Store Room']",0,20.0,1711.25,2700.0,Premium
"New Homes At Basundhara Chauki : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,49000000,6,6,3.0,2,South,2074.0,498,5.3 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,[],0,14.0,1813.925,,Premium
"Brand New : House For Sale In Buddhanagar, Kathmandu","buddhanagar, Buddhanagar, Kathmandu",Kathmandu,29900000,5,3,2.5,1,South,2076.0,4.6K,0-3-0-0 Aana,10 Feet / Concrete,10 Feet , Concrete,N/A Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",0,10.0,1026.75,,Premium
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,21000000,6,6,3.0,1,East,2074.0,550,3 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,4 months ago,['Garage'],0,13.0,1026.75,,High
"Golfutar Height Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,100000000,6,6,3.0,5,East,2069.0,589,19 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Balcony', 'Backyard', 'Frontyard', 'Garden', 'Fencing', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank', 'Store Room', 'Parking', 'Security Staff', 'Kids Playground']",0,13.0,6502.75,,Premium
"Ganeschok Home : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,45000000,5,5,3.0,1,North,2074.0,179,6 ana Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Drainage', 'Water Tank', 'Solar Water', 'Water Supply']",1,13.0,2053.5,,Premium
"Beautiful Shaped Land Italitar Hattigauda : Land For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,3500000,0,0,3.0,0,East,2074.0,378,19 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,[],1,15.0,6502.75,,Medium
"Grandy Tokhama Naya Ghar : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,33500000,6,6,3.0,1,South East,2076.0,87,4 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Drainage', 'Solar Water', 'Water Tank']",0,14.0,1369.0,,Premium
"Hattigauda Brand New Semi Bungalow : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,28500000,5,5,3.0,1,North,2076.0,143,4 Aana,15 Feet / Gravelled,15 Feet , Gravelled,N/A Aana,4 months ago,"['Garage', 'Solar Water', 'Drainage', 'Water Tank', 'Water Well']",0,15.0,1369.0,,Premium
"Basundhara Indreni Colony Home : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,50000000,5,5,3.0,3,East,2071.0,551,11 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Frontyard', 'Garden', 'Garage', 'Store Room']",0,16.0,3764.75,,Premium
"Nayabazar Home : House For Sale In Naya Bazar, Kathmandu","Na, Naya Bazar, Kathmandu",Kathmandu,35000000,5,5,3.0,2,East,2069.0,310,5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,"['Modular Kitchen', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well']",0,20.0,1711.25,,Premium
"Pasikot Bungalow : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,49000000,5,5,3.0,2,West,2076.0,490,8.5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,4 months ago,"['Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Internet', 'Store Room', 'Parking']",0,13.0,2909.125,,Premium
"7 Ana Bungalow Urgent For Sale : House For Sale In Thulo Bharyang, Kathmandu","Na, Thulo Bharyang, Kathmandu",Kathmandu,39000000,5,5,3.0,3,East,2070.0,151,7 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Garage', 'Frontyard', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well', 'Water Tank', 'Store Room']",0,15.0,2395.75,,Premium
"Dhumbarahi 32 Ana Land : Land For Sale In Dhumbarahi, Kathmandu","Na, Dhumbarahi, Kathmandu",Kathmandu,6500000,0,0,3.0,0,East,2074.0,146,32 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,[],1,20.0,10952.0,,Medium
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,29000000,6,6,3.0,1,East,2074.0,316,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,"['Water Supply', 'Solar Water', 'Drainage', 'Water Tank', 'Water Well', 'Store Room']",0,13.0,1369.0,,Premium
"Hattigaudama Brand New Family Bungalows : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,44500000,5,5,3.0,1,South,2076.0,410,5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank', 'Store Room', 'Parking']",0,16.0,1711.25,,Premium
"Maharajganj Lands : Land For Sale In Maharajgunj, Kathmandu","Na, Maharajgunj, Kathmandu",Kathmandu,5500000,0,0,3.0,0,South,2074.0,487,5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,[],1,15.0,1711.25,,Medium
"Golfutar 8 Ana For Sale : Land For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,3700000,0,0,3.0,0,East,2074.0,359,8 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,[],1,16.0,2738.0,,Medium
"Basundhara Beautiful Bungalow : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,29800000,5,5,3.0,1,East,2074.0,581,4.1 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Garage', 'Parking', 'Store Room', 'Solar Water', 'Water Supply', 'Water Well']",1,16.0,1403.225,,Premium
"Baluwatar 16 Ana Land : Land For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,5700000,0,0,3.0,0,East,2074.0,371,16 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,N/A Aana,4 months ago,[],1,12.0,5476.0,,Medium
"Jorpati Daachi Plotting Land : Land For Sale In Jorpati, Kathmandu","Na, Jorpati, Kathmandu",Kathmandu,1250000,0,0,3.0,0,East,2074.0,179,5/5/6 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,N/A Aana,4 months ago,[],1,20.0,1825.3333333333333,,Low
"3.5 Ana Land On Sale In Kalanki : Land For Sale In Chandragiri, Kathmandu","Bishnudevi , Kalanki, Chandragiri, Kathmandu",Kathmandu,2000000,0,0,3.0,0,South East,2074.0,509,0-3-1-3 Aana,12 Feet / Gravelled,12 Feet , Gravelled,N/A Aana,4 months ago,[],1,12.0,1176.484375,,Medium
"Sale-Imperial Apartment Sanepa : Apartment For Sale In Sanepa, Lalitpur","Sanepa, Sanepa, Lalitpur",Lalitpur,45000000,3,2,13.0,1,South,2015.0,1.7K,1800 Sq. Feet,20 Feet / Blacktopped,20 Feet , Blacktopped,1800 Sq. Feet,4 months ago,"['Jacuzzi', 'Lawn', 'Garage', 'Air Condition', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Deck', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Cafeteria', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Lift', 'Maintenance']",0,20.0,1800.0,1800.0,Premium
"५ रोपनी, १८ लाख प्रति आना, चोभार/ : Land For Sale In Machhegaun, Kirtipur","Chobhar, Machhegaun, Kirtipur",Kirtipur,1800000,0,0,3.0,0,South,2074.0,391,5-0-0-0 Ropani,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,4 months ago,[],1,20.0,27380.0,,Medium
"टुक्रा जग्गा चोभार हाइट मा बिक्रीमा : Land For Sale In Machhegaun, Kirtipur","Chobhar Height, Machhegaun, Kirtipur",Kirtipur,2000000,0,0,3.0,0,East,2074.0,389,"4,5,6,7,8 aana Aana",13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,4 months ago,[],1,13.0,2053.5,,Medium
"Land For Sale In Bardibas, Mahottari","Sindhuli, Ratmata, Bardibas, Mahottari",Mahottari,220000,0,0,0.0,0,East,2074.0,706,10935 Sq. Feet,6 Meter / Soil Stabilized,6 Meter , Soil Stabilized,10935 Sq. Feet,4 months ago,[],1,19.68504,10935.0,10935.0,Low
"Attractive Land For Rent - Suitable For Factory : Land For Rent In Bhadrapur, Jhapa","Sangam Marga, Bhadrapur, Jhapa",Jhapa,200000,0,0,3.0,0,North West,2074.0,376,20 Kattha,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,4 months ago,[],1,20.0,72900.0,,Low
"Flat For Rent In Imadol, Lalitpur","OCHHU height, Imadol, Lalitpur",Lalitpur,15000,2,1,3.0,0,South East,2075.0,657,700 Sq. Feet,14 Feet / Gravelled,14 Feet , Gravelled,700 Sq. Feet,4 months ago,"['Garden', 'Modular Kitchen', 'Water Supply', 'Water Tank']",0,14.0,700.0,700.0,Low
"Brand New : House For Sale In Bhimsengola, Baneshwor, Kathmandu","Bhimsengola, Bhimsengola, Baneshwor, Kathmandu",Kathmandu,38700000,6,5,3.0,3,East,2076.0,3.8K,0-4-0-0 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",0,15.0,1369.0,,Premium
"Brand New House On Sale At Bhimsengola : House For Sale In Old Baneshwor, Kathmandu","Bhimsengola, Old Baneshwor, Kathmandu",Kathmandu,39000000,6,5,3.0,3,East,2019.0,859,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,2300 Sq. Feet,4 months ago,[],0,13.0,1369.0,2300.0,Premium
"Dhapakhel : Land For Sale In Dhapakhel, Lalitpur","Dhapakhel, Dhapakhel, Lalitpur",Lalitpur,1200000,0,0,3.0,0,South East,2074.0,2K,3.3 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,N/A Aana,4 months ago,[],1,20.0,1129.425,,Low
"House For Sale In Syuchatar, Kathmandu","Green Village Society, Syuchatar, Kathmandu",Kathmandu,15000000,4,2,1.5,1,South,2072.0,11.8K,0-4-3-0 Aana,18 Feet / Concrete,18 Feet , Concrete,151 Sq. Feet,4 months ago,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Security Staff', 'Store Room']",0,18.0,1625.6875,151.0,High
"Commercial Building : House For Sale In Thulo Bharyang, Kathmandu","Nearby ekdhara chwok, Thulo Bharyang, Kathmandu",Kathmandu,155000000,9,6,5.5,31,North,2075.0,5.1K,0-14-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,24000 Aana,4 months ago,"['Balcony', 'Fencing', 'Gym', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Electricity Backup', 'Intercom', 'Internet', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']",0,20.0,4962.625,8214000.0,Premium
"2 Storey Beautiful House For Sale At Tinkune : House For Sale In Tinkune, Kathmandu","Subidhanagar,Tinkune, Tinkune, Kathmandu",Kathmandu,32500000,4,3,2.0,4,East,2074.0,393,5.75 Aana,11 Feet / Blacktopped,11 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Backyard', 'Frontyard', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",1,11.0,1967.9375,,Premium
"Luxurious Bungalow : House For Sale In Dhobighat, Lalitpur","Dhobighat, Dhobighat, Lalitpur",Lalitpur,90000000,4,2,2.5,3,South,2074.0,11.3K,0-20-0-0 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Electricity Backup', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Store Room']",1,16.0,6845.0,,Premium
"2BHK FLAT ON RENT AT BALAJU BORATAR (NEAR BANASTHALI KHARIBOT) : House For Rent In Balaju, Kathmandu","Balaju, Kathmandu, Balaju, Kathmandu",Kathmandu,15000,2,1,3.0,1,North,2019.0,868,3 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2.75 Aana,4 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Well', 'Water Tank', 'Internet', 'Kids Playground', 'Parking']",0,13.0,1026.75,941.1875,Low
"Hattiban Height : House For Rent In Hattiban, Lalitpur","Setipakha, Hattiban, Lalitpur",Lalitpur,150000,5,3,3.0,1,East,2012.0,572,10 Aana,17 Meter / Blacktopped,17 Meter , Blacktopped,4 Aana,4 months ago,"['Garage', 'Balcony', 'Garden', 'TV Cable', 'Water Supply', 'Water Well', 'Parking']",0,55.77428,3422.5,1369.0,Low
